wv,n,k
1112.327881,1.520284,0.000014
1115.744385,1.520106,0.000013
1119.161377,1.520007,0.000013
1122.578369,1.519964,0.000013
1125.995361,1.519786,0.000013
1129.41272,1.519528,0.000012
1132.830078,1.519309,0.000012
1136.247681,1.519163,0.000012
1139.665283,1.519087,0.000012
1143.083252,1.519004,0.000012
1146.501221,1.518805,0.000011
1149.919312,1.518543,0.000011
1153.337646,1.518342,0.000011
1156.756104,1.51821,0.000011
1160.174561,1.518141,0.00001
1163.593262,1.518035,0.00001
1167.012085,1.517825,0.00001
1170.431152,1.51757,0.00001
1173.850342,1.517372,0.00001
1177.269531,1.517239,0.000009
1180.688965,1.517164,0.000009
1184.108521,1.517062,0.000009
1187.528198,1.516862,0.000009
1190.947998,1.516603,0.000009
1194.36792,1.516396,0.000009
1197.788086,1.516248,0.000009
1201.208252,1.516156,0.000008
1204.628662,1.51608,0.000008
1208.049194,1.515897,0.000008
1211.469971,1.515647,0.000008
1214.890625,1.51542,0.000008
1218.311646,1.515247,0.000008
1221.732666,1.515128,0.000008
1225.153809,1.515056,0.000008
1228.575195,1.51492,0.000007
1231.996704,1.514709,0.000007
1235.418213,1.514457,0.000007
1238.839966,1.51425,0.000007
1242.261841,1.514094,0.000007
1245.683838,1.513986,0.000007
1249.105957,1.513917,0.000007
1252.528198,1.513747,0.000007
1255.950562,1.51352,0.000006
1259.373169,1.513276,0.000006
1262.795776,1.513075,0.000006
1266.218506,1.51292,0.000006
1269.641479,1.51281,0.000006
1273.064575,1.512736,0.000006
1276.487671,1.512565,0.000006
1279.911011,1.512344,0.000006
1283.334351,1.512097,0.000006
1286.758057,1.511889,0.000005
1290.181641,1.511724,0.000005
1293.605469,1.511601,0.000005
1297.029419,1.511515,0.000005
1300.453369,1.511374,0.000005
1303.877686,1.511177,0.000005
1307.302002,1.510922,0.000005
1310.726318,1.510698,0.000005
1314.151001,1.510512,0.000005
1317.575684,1.510366,0.000005
1321.000488,1.510257,0.000005
1324.425415,1.510164,0.000005
1327.850342,1.509984,0.000005
1331.275635,1.50976,0.000005
1334.700928,1.509513,0.000004
1338.126343,1.509299,0.000004
1341.55188,1.509121,0.000004
1344.977539,1.50898,0.000004
1348.40332,1.508872,0.000004
1351.829224,1.508763,0.000004
1355.255249,1.508578,0.000004
1358.681396,1.50835,0.000004
1362.107666,1.508104,0.000004
1365.533936,1.507888,0.000004
1368.960571,1.507706,0.000004
1372.387085,1.507558,0.000004
1375.813843,1.50744,0.000004
1379.240723,1.50734,0.000004
1382.667725,1.507158,0.000004
1386.094727,1.506947,0.000004
1389.521973,1.506693,0.000004
1392.949219,1.506467,0.000003
1396.376709,1.506269,0.000003
1399.804199,1.506104,0.000003
1403.231812,1.505967,0.000003
1406.659668,1.505856,0.000003
1410.087524,1.505717,0.000003
1413.515503,1.505522,0.000003
1416.943604,1.505287,0.000003
1420.371826,1.505042,0.000003
1423.800171,1.504822,0.000003
1427.228638,1.504631,0.000003
1430.657104,1.504467,0.000003
1434.085815,1.50433,0.000003
1437.514526,1.504216,0.000003
1440.943481,1.504064,0.000003
1444.372437,1.503866,0.000003
1447.801514,1.50363,0.000003
1451.230713,1.503384,0.000003
1454.660034,1.503161,0.000003
1458.089478,1.502963,0.000003
1461.519043,1.502791,0.000003
1464.948608,1.502643,0.000003
1468.378418,1.502518,0.000003
1471.808228,1.502383,0.000003
1475.238159,1.502189,0.000003
1478.668213,1.501973,0.000003
1482.098389,1.501719,0.000002
1485.528564,1.501483,0.000002
1488.958984,1.501269,0.000002
1492.389404,1.50108,0.000002
1495.820068,1.500913,0.000002
1499.250732,1.500768,0.000002
1502.681519,1.500642,0.000002
1506.112427,1.500482,0.000002
1509.543335,1.500281,0.000002
1512.974487,1.500053,0.000002
1516.40564,1.4998,0.000002
1519.836914,1.499565,0.000002
1523.268311,1.49935,0.000002
1526.699829,1.499156,0.000002
1530.13147,1.498984,0.000002
1533.56311,1.498832,0.000002
1536.994873,1.498697,0.000002
1540.426758,1.498544,0.000002
1543.858643,1.498343,0.000002
1547.290771,1.498127,0.000002
1550.7229,1.497869,0.000002
1554.155151,1.497625,0.000002
1557.587646,1.497399,0.000002
1561.02002,1.497193,0.000002
1564.452515,1.497006,0.000002
1567.885254,1.496838,0.000002
1571.317993,1.496687,0.000002
1574.750732,1.496551,0.000002
1578.183716,1.496368,0.000002
1581.616821,1.49616,0.000002
1585.049927,1.495929,0.000002
1588.483154,1.495671,0.000002
1591.916382,1.495428,0.000002
1595.349731,1.495201,0.000002
1598.783203,1.494992,0.000002
1602.216797,1.494801,0.000002
1605.650513,1.494627,0.000002
1609.084229,1.494469,0.000002
1612.518066,1.494323,0.000002
1615.951904,1.494146,0.000002
1619.385986,1.493937,0.000002
1622.820068,1.493715,0.000002
1626.254272,1.493454,0.000002
1629.688599,1.493203,0.000002
1633.122925,1.492967,0.000002
1636.557373,1.492746,0.000002
1639.991943,1.492541,0.000002
1643.426514,1.492352,0.000002
1646.861084,1.492179,0.000001
1650.296143,1.492018,0.000001
1653.730835,1.491869,0.000001
1657.165771,1.491668,0.000001
1660.600952,1.491452,0.000001
1664.035889,1.49122,0.000001
1667.471313,1.490957,0.000001
1670.906494,1.490704,0.000001
1674.342041,1.490465,0.000001
1677.777344,1.49024,0.000001
1681.212891,1.490029,0.000001
1684.648438,1.489833,0.000001
1688.084229,1.48965,0.000001
