wv,n,k
1509.910278,1.500259,0.000002
1513.377197,1.500023,0.000002
1516.84436,1.499769,0.000002
1520.312012,1.499534,0.000002
1523.780151,1.499319,0.000002
1527.248657,1.499127,0.000002
1530.717529,1.498957,0.000002
1534.186768,1.498806,0.000002
1537.656494,1.498672,0.000002
1541.126465,1.498504,0.000002
1544.596924,1.498298,0.000002
1548.067627,1.498067,0.000002
1551.538818,1.497809,0.000002
1555.010376,1.497567,0.000002
1558.482178,1.497344,0.000002
1561.954346,1.49714,0.000002
1565.427002,1.496957,0.000002
1568.89978,1.496792,0.000002
1572.373047,1.496644,0.000002
1575.846558,1.496502,0.000002
1579.320435,1.496301,0.000002
1582.794556,1.496085,0.000002
1586.269043,1.495836,0.000002
1589.743774,1.49558,0.000002
1593.218872,1.49534,0.000002
1596.694092,1.495118,0.000002
1600.1698,1.494913,0.000002
1603.645752,1.494727,0.000002
1607.121826,1.494557,0.000002
1610.598389,1.494403,0.000002
1614.074951,1.494255,0.000002
1617.552002,1.494051,0.000002
1621.029175,1.493832,0.000002
1624.506592,1.493587,0.000002
1627.984375,1.493326,0.000002
1631.46228,1.493079,0.000002
1634.940552,1.492848,0.000002
1638.418945,1.492633,0.000002
1641.897461,1.492434,0.000002
1645.376343,1.492252,0.000002
1648.855225,1.492084,0.000002
1652.334595,1.491929,0.000001
1655.813843,1.49175,0.000001
1659.293579,1.491536,0.000001
1662.773193,1.491309,0.000001
1666.253296,1.491049,0.000001
1669.733398,1.490789,0.000001
1673.213623,1.490542,0.000001
1676.694092,1.490309,0.000001
1680.174805,1.490091,0.000001
1683.655518,1.489888,0.000001
1687.136353,1.4897,0.000001
